run,type,module,name,attrname,attrvalue,value,count,sumweights,mean,stddev,min,max,underflows,overflows,binedges,binvalues,vectime,vecvalue
ECC-0-20260408-11:10:05-2463,config,,,*.actuator.app[0].destAddress,"""""",,,,,,,,,,,,,
ECC-0-20260408-11:10:05-2463,config,,,*.actuator.app[0].isActuator,true,,,,,,,,,,,,,
ECC-0-20260408-11:10:05-2463,config,,,*.actuator.app[0].actuateDelay,20ms,,,,,,,,,,,,,
RSA-0-20260408-11:08:59-2456,runattr,,,configname,RSA,,,,,,,,,,,,,
RSA-0-20260408-11:08:59-2456,runattr,,,datetime,20260408-11:08:59,,,,,,,,,,,,,
RSA-0-20260408-11:08:59-2456,runattr,,,datetimef,20260408-110859,,,,,,,,,,,,,
RSA-0-20260408-11:08:59-2456,runattr,,,experiment,RSA,,,,,,,,,,,,,
RSA-0-20260408-11:08:59-2456,runattr,,,inifile,omnetpp.ini,,,,,,,,,,,,,
RSA-0-20260408-11:08:59-2456,runattr,,,iterationvars,,,,,,,,,,,,,,
RSA-0-20260408-11:08:59-2456,runattr,,,iterationvarsd,,,,,,,,,,,,,,
RSA-0-20260408-11:08:59-2456,runattr,,,iterationvarsf,,,,,,,,,,,,,,
RSA-0-20260408-11:08:59-2456,runattr,,,measurement,,,,,,,,,,,,,,
RSA-0-20260408-11:08:59-2456,runattr,,,network,AdvancedSecurityNetwork,,,,,,,,,,,,,
RSA-0-20260408-11:08:59-2456,runattr,,,processid,2456,,,,,,,,,,,,,
RSA-0-20260408-11:08:59-2456,runattr,,,repetition,0,,,,,,,,,,,,,
RSA-0-20260408-11:08:59-2456,runattr,,,replication,#0,,,,,,,,,,,,,
RSA-0-20260408-11:08:59-2456,runattr,,,resultdir,results,,,,,,,,,,,,,
RSA-0-20260408-11:08:59-2456,runattr,,,runnumber,0,,,,,,,,,,,,,
RSA-0-20260408-11:08:59-2456,runattr,,,seedset,0,,,,,,,,,,,,,
RSA-0-20260408-11:08:59-2456,config,,,description,"RSA-2048 Sifrelemesi (Gecikme cok, Manipulasyon engellendi)",,,,,,,,,,,,,
RSA-0-20260408-11:08:59-2456,config,,,*.sensor.app[0].cryptoType,"""RSA""",,,,,,,,,,,,,
RSA-0-20260408-11:08:59-2456,config,,,*.sensor.app[0].packetSize,256B,,,,,,,,,,,,,
RSA-0-20260408-11:08:59-2456,config,,,*.sensor.app[0].cryptoCpuDelay,50ms,,,,,,,,,,,,,
RSA-0-20260408-11:08:59-2456,config,,,*.actuator.app[0].cryptoType,"""RSA""",,,,,,,,,,,,,
RSA-0-20260408-11:08:59-2456,config,,,*.actuator.app[0].cryptoCpuDelay,50ms,,,,,,,,,,,,,
